video_id,title,description,published_at,channel_title,channel_id,view_count,like_count,favorite_count,comment_count,duration,duration_seconds
qWru-b6m030,How Data Engineering Works,"So, the sole purpose of data engineering is to take data from the source and save it to make it available for analysis. Sounds ...",2021-03-17 13:43:16+00:00,AltexSoft,UCEKI_F16hUtBHcw9tBtr24Q,538648,24072,0,638,PT14M14S,854
PHsC_t0j1dU,Data Engineering Course for Beginners,"Learn the essentials of data engineering in this course for beginners. You'll learn about Databases, Docker, and analytical ...",2024-01-16 15:22:46+00:00,freeCodeCamp.org,UC8butISFwT-Wl7EV0hUK0BQ,960764,14470,0,388,PT3H3M43S,11023
hTjo-QVWcK0,What Does a Data Engineer ACTUALLY Do?,Data Engineer Certificate: https://imp.i384100.net/ibm-data-engineer SQL Certification: https://datacamp.pxf.io/EEyy9n ...,2023-11-07 11:57:18+00:00,Learn with Lukas,UCw_LFe2pS8x3NyipGNJgeEA,150736,2431,0,29,PT5M2S,302
eUrwxH9as_k,Data Engineers vs Data Analysts vs Data Scientists | What&#39;s right for you?,Data Analysis Lab - Build Your Data Portfolio in 30 DAYS: https://www.skool.com/data-analysis-lab How I Built 50+ Data Projects ...,2023-10-15 12:38:26+00:00,Mo Chen,UCDybamfye5An6p-j1t2YMsg,90581,3845,0,126,PT7M40S,460
aSHg22oEGIs,The 2025 data engineering roadmap,,2025-06-16 19:26:17+00:00,Data with Zach,UCAq9f7jFEA7Mtl3qOZy2h1A,112793,6269,0,1266,PT1M20S,80
8B-OuRv8Oi8,The structure of a data engineering interview,,2025-06-07 04:05:13+00:00,Data with Zach,UCAq9f7jFEA7Mtl3qOZy2h1A,22599,1105,0,19,PT2M23S,143
U8LV-N5aMxw,Is Data Engineering the New Best Job?,Best Courses for Analytics: --------------------------------------------------------------------------------------------------------- + IBM Data Science ...,2023-09-03 11:54:11+00:00,Greg Hogg,UCJublDh2UsiIKsAE1553miw,199518,4214,0,76,PT34S,34
MXf4EKQxN4E,How I Would become a Data Engineer FAST(if I could start over in 2025) #dataengineering,Full deep-dive roadmap* : https://youtu.be/odZHmYgebbw *Notion Roadmap* ...,2025-05-15 14:17:51+00:00,Data with Baraa,UC8_RSKwbU1OmZWNEoLV1tQg,78751,4063,0,49,PT1M,60
odZHmYgebbw,How I would learn Data Engineering in 2025 (if I could start over) â€“ Built by a Data Engineer,"Notion Data Engineering Roadmap* : https://www.notion.so/templates/data-engineering-roadmap-125 Subscribe, Like, and ...",2025-05-13 12:26:36+00:00,Data with Baraa,UC8_RSKwbU1OmZWNEoLV1tQg,234617,10027,0,642,PT22M47S,1367
CEGN-LbiX4Y,If I Started Over As A Data Engineerâ€¦ 2025 Version!,Unlock your data engineering career in 2025 with this step-by-step blueprint! Whether you're just starting out or looking to level up ...,2025-08-06 13:15:02+00:00,The Data Engineering Channel,UCxti3udEHVCZLs4NYkUeEEw,28442,1486,0,180,PT8M34S,514
_eMnqdrZx_Q,The four levels of data engineering!,Check out https://www.dataexpert.io/questions for free SQL practices on a data lake!,2024-03-24 00:37:19+00:00,Data with Zach,UCAq9f7jFEA7Mtl3qOZy2h1A,257205,14556,0,128,PT59S,59
hf2go3E2m8g,Fundamentals Of Data Engineering Masterclass,Check Out My Data Engineering Bootcamp: https://datavidhya.com/combo-pack USE CODE: COMBO50 for a 50% discount One ...,2024-08-18 13:05:41+00:00,Darshil Parmar,UCChmJrVa8kDg05JfCmxpLRw,363902,12035,0,683,PT3H2M26S,10946
T23Bs75F7ZQ,Data Engineering with Python and AI/LLMs â€“ Data Loading Tutorial,Master data ingestion for data engineering with Python. Learn to tackle common pipeline failures like schema changes and API ...,2025-04-16 17:39:21+00:00,freeCodeCamp.org,UC8butISFwT-Wl7EV0hUK0BQ,133891,3084,0,42,PT3H48M41S,13721
iA7VhITxO9w,Top 5 Courses every Data Engineer must take to stay ahead in 2025 #dataengineering #dataengineers,"Recommended Courses & Resource ""All links are mentioned in the extended description of this video."" Check out Full Videos for ...",2025-09-10 12:52:00+00:00,Data With Pranjal,UCUTDd3ieNmKDtHu4VJAsNZA,37179,1719,0,20,PT28S,28
4FcG_ocJ41Y,Is It Time to Say Goodbye to Data Engineers? - The Data Engineering Dilemma,"Ever since tools like SSIS came onto the scene, vendors and business leaders have been on a mission to remove what they see ...",2025-02-19 15:56:51+00:00,Seattle Data Guy,UCmLGJ3VYBcfRaWbP6JLJcpA,56516,974,0,132,PT11M6S,666
adFdTnv0-O8,Data Engineering is better than AI Engineering in 2025,Join the free boot camp here: https://learn.dataexpert.io The code for this lab is found here: ...,2025-09-05 20:06:29+00:00,Data with Zach,UCAq9f7jFEA7Mtl3qOZy2h1A,27576,1041,0,90,PT9M15S,555
6ubCFPOwFmk,3 Step DSA Roadmap for Data Engineers ðŸš€ #faang #coding #dataengineering #dsa,"I get this question many times. Is DSA important for data engineers? Yes, it is. Here I show you a 3 step process to nail any DSA ...",2025-07-31 03:28:10+00:00,Jash Radia,UCWegChjG2YNdVMobQEMxolQ,37387,1630,0,32,PT54S,54
JUws0cMnL78,What Does a Data Engineer Do? Explained Simply,Combo Package Python + SQL + Data warehouse (Snowflake) + Apache Spark: ...,2024-05-19 13:00:27+00:00,Darshil Parmar,UCChmJrVa8kDg05JfCmxpLRw,70172,1723,0,93,PT10M39S,639
Pjx0AVg5lVY,data engineering roadmap#data#dataengineering #road#datascience#education #information#dataanalytics,"data engineering roadmap,data engineering,data engineer roadmap,learn data engineering,data engineering roadmap 2024 ...",2024-10-01 01:02:03+00:00,Information hub,UC1ovhwPjCoXXXH1k6dOuFOg,151008,1676,0,,PT18S,18
PUZ-Y3xcO-k,Don&#39;t Become a Data Engineer if,What are some other reasons to not become a data engineer? #dataanalyst #datascientist #dataengineer #learntocode #swe ...,2024-08-27 14:10:55+00:00,Sundas Khalid,UCteRPiisgIoHtMgqHegpWAQ,478278,8594,0,277,PT1M,60
SDPKsYBBQD4,Fastest Way to Become a Self Taught Data Engineer and Get a Job,Top Pick Data Engineer SQL Course: https://datacamp.pxf.io/6y9NgG Top Pick Data Engineer Python Course: ...,2025-09-06 05:30:25+00:00,Jash Radia,UCWegChjG2YNdVMobQEMxolQ,56136,2466,0,115,PT10M49S,649
ZRz-7E-7X7c,Fundamentals of Data Engineering Masterclass (From SCRATCH!),Fundamentals of Data Engineering Masterclass | Data Engineering Full Course | Data Engineering Bootcamp What You'll Learn ...,2024-11-17 13:00:39+00:00,Ansh Lamba,UCu7lQE-L5gzt8aD7zuuufjw,103676,2680,0,411,PT2H56M26S,10586
Pcbt866j8vE,Top 3 books for learning Data and AI. Data Engineer Handbook,Check out the Github here: https://www.github.com/DataExpert-io/data-engineer-handbook.,2025-06-09 17:56:57+00:00,Data with Zach,UCAq9f7jFEA7Mtl3qOZy2h1A,34751,2088,0,13,PT1M4S,64
VSxF0bb-JH4,How I would learn Data Engineering (if I could start over),"In this video, I'll share my step-by-step process on how I would learn Data Engineering if I could start over. Data Engineering is a ...",2023-05-10 17:51:59+00:00,jayzern,UCF931z8s2EvB67ZIBnLN6gA,452011,18500,0,364,PT11M21S,681
vFMmtQCaX0I,Data Engineer vs Data Analyst vs Data Scientist - which is better?,"Join my Academy, learn Data & AI skills and land a job   https://analyticsautomation.academy/ Data Analysts, Data Scientists and ...",2025-04-09 13:15:09+00:00,Lore So What,UCtoNXlIegvxkvf5Ji8S57Ag,139012,4039,0,241,PT10M45S,645
